model_name,developer,model_type,wh_per_query,wh_per_100_queries,co2_g_per_query,co2_g_per_100_queries,led_10W_seconds,wh_per_1000_queries,co2_g_per_1000_queries
Qwen3 Next 80B ,Alibaba,Reasoning,0.00027667,0.027667,0.00011537,0.011537,0.0996,0.27667,0.11537
mxbai embed large,MixedBread AI,Text,5.9e-07,5.9e-05,2.5e-07,2.5e-05,0.0002,0.00059,0.00025
GTE Base,Community,Text,2.5e-07,2.5e-05,1e-07,1e-05,0.0001,0.00025,0.0001
gte large,Community,Text,5.9e-07,5.9e-05,2.5e-07,2.5e-05,0.0002,0.00059,0.00025
bge base en v1.5,BAAI,Text,2.5e-07,2.5e-05,1e-07,1e-05,0.0001,0.00025,0.0001
bge small en v1.5,BAAI,Text,1.9e-07,1.9e-05,8e-08,8e-06,0.0001,0.00019,8e-05
SFR Embedding Mistral,Salesforce,Text,5.22e-06,0.000522,2.18e-06,0.000218,0.0019,0.00522,0.00218
e5 large v2,intfloat,Text,6e-07,6e-05,2.5e-07,2.5e-05,0.0002,0.0006,0.00025
e5 base v2,intfloat,Text,2.5e-07,2.5e-05,1.1e-07,1e-05,0.0001,0.00025,0.0001
multilingual e5 large,intfloat,Text,7.2e-07,7.2e-05,3e-07,3e-05,0.0003,0.00072,0.0003
GritLM 7B,GritLM,Text,5.03e-06,0.000503,2.1e-06,0.00021,0.0018,0.00503,0.0021
udever bloom 3b,izhx,Text,2.15e-06,0.000215,9e-07,9e-05,0.0008,0.00215,0.0009
udever bloom 7b1,izhx,Text,4.7e-06,0.00047,1.96e-06,0.000196,0.0017,0.0047,0.00196
udever bloom 1b1,izhx,Text,9.7e-07,9.7e-05,4e-07,4e-05,0.0003,0.00097,0.0004
UAE Large V1,WhereIsAI,Text,6e-07,6e-05,2.5e-07,2.5e-05,0.0002,0.0006,0.00025
ember v1,llmrails,Text,5.8e-07,5.8e-05,2.4e-07,2.4e-05,0.0002,0.00058,0.00024
nomic embed text v1,nomic-ai,Text,3.8e-07,3.8e-05,1.6e-07,1.6e-05,0.0001,0.00038,0.00016
GIST Embedding v0,avsolatorio,Text,2.6e-07,2.6e-05,1.1e-07,1.1e-05,0.0001,0.00026,0.00011
GIST large Embedding v0,avsolatorio,Text,5.8e-07,5.8e-05,2.4e-07,2.4e-05,0.0002,0.00058,0.00024
GIST all MiniLM L6 v2,avsolatorio,Text,1.1e-07,1.1e-05,4e-08,5e-06,0.0,0.00011,5e-05
LED Large,Community,Text,4.29e-06,0.000429,1.79e-06,0.000179,0.0015,0.00429,0.00179
BART Large CNN,Meta,Text,2.04e-06,0.000204,8.5e-07,8.5e-05,0.0007,0.00204,0.00085
bart_summarizer_model,KipperDev,Text,7.8e-07,7.8e-05,3.3e-07,3.3e-05,0.0003,0.00078,0.00033
bigbird pegasus large arxiv,Google,Text,3.52e-06,0.000352,1.47e-06,0.000147,0.0013,0.00352,0.00147
distilbart cnn 12 6,sshleifer,Text,1.48e-06,0.000148,6.2e-07,6.2e-05,0.0005,0.00148,0.00062
distilbart xsum 12 1,sshleifer,Text,1.05e-06,0.000105,4.4e-07,4.4e-05,0.0004,0.00105,0.00044
t5 large,Google,Text,8.68e-06,0.000868,3.62e-06,0.000362,0.0031,0.00868,0.00362
t5 11b,Google,Text,3.481e-05,0.003481,1.451e-05,0.001452,0.0125,0.03481,0.01452
t5 3b,Google,Text,1.324e-05,0.001324,5.52e-06,0.000552,0.0048,0.01324,0.00552
t5 base,Google,Text,4.23e-06,0.000423,1.76e-06,0.000176,0.0015,0.00423,0.00176
t5 small,Google,Text,2.27e-06,0.000227,9.5e-07,9.5e-05,0.0008,0.00227,0.00095
BERT Multilingual Sentiment,NLP Town,Text,3.6e-07,3.6e-05,1.5e-07,1.5e-05,0.0001,0.00036,0.00015
ELECTRA Base Emotion,Community,Text,2.5e-07,2.5e-05,1.1e-07,1e-05,0.0001,0.00025,0.0001
distilbert base uncased finetuned sst 2 english,HuggingFace,Text,2.2e-07,2.2e-05,9e-08,9e-06,0.0001,0.00022,9e-05
GPT 2 Medium finetuned sst2 sentiment,michelecafagna26,Text,8e-07,8e-05,3.3e-07,3.3e-05,0.0003,0.0008,0.00033
distilbert base multilingual cased sentiments student,lxyuan,Text,2.2e-07,2.2e-05,9e-08,9e-06,0.0001,0.00022,9e-05
GPT 2 imdb sentiment classifier,mnoukhov,Text,3.2e-07,3.2e-05,1.3e-07,1.3e-05,0.0001,0.00032,0.00013
distilbert imdb,lvwerra,Text,2.2e-07,2.2e-05,9e-08,9e-06,0.0001,0.00022,9e-05
bert large sst2,Cheng98,Text,9.2e-07,9.2e-05,3.8e-07,3.8e-05,0.0003,0.00092,0.00038
t5 large,Google,Text,7.92e-06,0.000792,3.3e-06,0.00033,0.0029,0.00792,0.0033
t5 11b,Google,Text,2.779e-05,0.002779,1.159e-05,0.001159,0.01,0.02779,0.01159
t5 3b,Google,Text,1.168e-05,0.001168,4.87e-06,0.000487,0.0042,0.01168,0.00487
t5 base,Google,Text,4.13e-06,0.000413,1.72e-06,0.000172,0.0015,0.00413,0.00172
t5 small,Google,Text,2.22e-06,0.000222,9.2e-07,9.3e-05,0.0008,0.00222,0.00093
Starling 7B,Berkeley,Text,1.901e-05,0.001901,7.93e-06,0.000793,0.0068,0.01901,0.00793
distilGPT 2,HuggingFace,Text,1.31e-06,0.000131,5.5e-07,5.5e-05,0.0005,0.00131,0.00055
xLAM 7B,Salesforce,Text,1.917e-05,0.001917,7.99e-06,0.000799,0.0069,0.01917,0.00799
GPT 2,OpenAI,Text,2.15e-06,0.000215,8.9e-07,9e-05,0.0008,0.00215,0.0009
GPT 2 XL,OpenAI,Text,8.92e-06,0.000892,3.72e-06,0.000372,0.0032,0.00892,0.00372
GPT 2 Medium,OpenAI,Text,3.96e-06,0.000396,1.65e-06,0.000165,0.0014,0.00396,0.00165
GPT 2 Large,OpenAI,Text,6.12e-06,0.000612,2.55e-06,0.000255,0.0022,0.00612,0.00255
GPT 1,OpenAI,Text,2.7e-06,0.00027,1.13e-06,0.000113,0.001,0.0027,0.00113
Phi 1,Microsoft,Text,6.39e-06,0.000639,2.67e-06,0.000266,0.0023,0.00639,0.00266
